問題,選択肢A,選択肢B,選択肢C,選択肢D,解答
再診料は、どのような場合に算定されるか？,初めて診察を受けたとき,初診後の2回目以降の診察の都度,入院したとき,手術を行ったとき,B
入院料は、大きく分けてどのような種類があるか？,一般病棟入院基本料、特定入院料、短期滞在手術等基本料,療養病棟入院基本料、精神病棟入院基本料、結核病棟入院基本料,ICU入院料、HCU入院料、無菌室入院料,小児入院料、産科入院料、緩和ケア入院料,A
医学管理等とは、どのようなものに対して算定されるか？,検査や注射などの具体的な医療技術,病気に対する情報提供や生活上の注意点、計画的な管理指導,手術や処置,入院時の食事提供,B
特定疾患療養管理料は、どのような患者に対して算定されるか？,全ての患者,厚生労働大臣が定める特定疾患を主病とする患者,入院患者,手術後の患者,B
特定薬剤治療管理料は、どのような場合に算定できるか？,全ての薬剤投与,特定の疾患に対する薬剤を投与後、薬物血中濃度を測定し、投与量の管理および指導を行った場合,手術後の薬剤投与,入院中の薬剤投与,B
悪性腫瘍特異物質治療管理料は、どのような患者に対して算定されるか？,悪性腫瘍の疑いがある患者,悪性腫瘍であると確定診断された患者,良性腫瘍の患者,全ての腫瘍患者,B
診療報酬の点数で、1点は何円として計算される？,5円,10円,15円,20円,B
レセプトの審査は、どこで行われる？,病院,社会保険診療報酬支払基金または国民健康保険団体連合会,薬局,患者の自宅,B
健康保険証を提示することで受けられる給付は？,現金給付,現物給付,両方,どちらでもない,B
柔道整復や、あん摩・はり・灸の治療を受けた場合は、どのような給付となる？,現物給付,現金給付,両方,どちらでもない,B
傷病手当金は、どのような場合に支給される？,業務上の病気やけが,業務外の病気やけがで仕事に行けない場合,出産,死亡,B
埋葬料は、誰が亡くなった場合に支給される？,被保険者のみ,被保険者または被扶養者,被保険者の家族,誰でも,B
出産育児一時金は、いくら支給される？,30万円,40万円,50万円,60万円,C
保険医療機関の指定は、何年ごとに更新が必要？,3年,5年,6年,10年,C
高額療養費制度とは、どのような制度？,医療費が一定額を超えた場合に払い戻しが受けられる制度,入院時の食事代が無料になる制度,交通費が支給される制度, лекарствоが無料になる制度,A
労災保険は、どのような場合に適用される？,業務上や通勤途上のけが・病気,日常生活でのけが・病気,交通事故,犯罪被害,A
国民健康保険には、被扶養者という区分がある？,ある,ない,どちらでもない,場合による,B
国民健康保険料は、全国一律？,はい,いいえ,どちらでもない,場合による,B
保険医療機関と保険医の指定は、誰が行う？,病院の院長,都道府県知事,厚生労働大臣,医師会,C
様式第一号（ー）の1は何と呼ばれる？,1号用紙,2号用紙,3号用紙,4号用紙,A
保険医療機関は、診療録を何年間保存しなければならない？,3年間,5年間,7年間,10年間,B
被保険者証を提示することにより、診察などを受け、医療機関に掛かった医療費を支払う場合、それは医療費の何割を支払うことになるか？,1割,2割,3割,4割,C
「様式第一号（ー）の2」は何と呼ばれる？,1号用紙,2号用紙,3号用紙,4号用紙,B
保険医療機関が、患者様から保険給付を受けるために必要な証明書等の交付を求められたとき、どうしなければならないか？,有料で交付する,無償で交付する,交付する必要はない,場合によって有料,B
医療法は、何のためにある？,医療従事者の地位向上,医療を受ける者の利益の保護,病院の建設促進, лекарство開発の促進,B
