問題文,選択肢A,選択肢B,選択肢C,選択肢D,解答
電子カルテの導入における問題点として、何が挙げられますか？,保管場所の減少,セキュリティ対策,医師の負担増加,患者の待ち時間増加,B
レセプトの基本構成要素として、誤っているものはどれですか？,患者様の氏名,保険者番号,病名,身長,D
診療報酬の点数は、何に基づいて計算されますか？,患者の収入,医療機関の規模,診療報酬点数表,医師の経験年数,C
医療保険の仕組みにおいて、被保険者とは誰のことですか？,医療機関,保険者,保険料を納める人,レセプトを作成する人,C
レセプト業務は、医療機関にとってどのような役割を果たしますか？,患者とのコミュニケーション,医療機関の収支を支える,医療技術の向上,職員の研修,B
レセプトの種類として、「医科入院外」とは、どのようなレセプトのことですか？,入院患者のレセプト,外来患者のレセプト,歯科のレセプト,調剤のレセプト,B
薬剤の価格は、何に基づいて決定されますか？,医療機関の裁量,厚生労働大臣が定める薬価基準,市場価格,患者との相談,B
薬価基準において、内用薬とはどのような薬のことですか？,塗り薬,注射薬,飲み薬,吸入薬,C
薬価が16円の場合、診療報酬点数は何点になりますか？,1点,2点,3点,4点,B
電卓のメモリーキーで、計算結果をマイナスして保存するキーは何ですか？,M+,MRC,M-,MC,C
医療保険は、主にどのような場合に医療費の負担を軽減する制度ですか？,健康診断,美容整形,病気やけがでの通院や入院,人間ドック,C
健康保険法は何を目的としていますか？,国民の健康増進,医療技術の向上,国民の生活の安定と福祉の向上,医療費の削減,C
国民健康保険は、主にどのような人が対象ですか？,会社員,公務員,自営業者,学生,C
公費負担医療制度は、どのような患者に対して医療費の全部または一部を負担する制度ですか？,全ての患者,特定の疾病や境遇の患者,高齢者,生活困窮者,B
保険医療機関及び保険医療養担当規則は、誰が守らなければならない規則ですか？,患者,医療事務員,保険医療機関と保険医,製薬会社,C
医療法は何を目的としていますか？,医療費の削減,医療従事者の地位向上,医療を受ける者の利益の保護,医療技術の海外展開,C
医療事務の仕事内容として最も適切なものは？,A: 事務処理全般,B: 受付・会計業務、レセプト（診療報酬請求）業務など,C: 医療行為の補助,D: 病院の経営,B
医療機関の受付で求められる能力は？,A: 高度な医学知識,B: 接遇マナー、正確かつスピーディな処理能力,C: 外国語の会話能力,D: 優れた運動能力,B
患者登録の流れで、最初に確認するものは？,A: 患者の住所,B: 健康保険証,C: 緊急連絡先,D: アレルギーの有無,B
レセプト業務とは、主に何の請求を行う業務？,A: 薬代,B: ベッド代,C: 診療報酬,D: 慰謝料,C
カルテの法的保存義務期間は？,A: 3年間,B: 5年間,C: 10年間,D: 永久保存,B
電子カルテの最大のメリットは？,A: 保管スペースの削減,B: 手書きの暖かさ,C: 紙資源の節約,D: インク代の節約,A
電子カルテの入力者として適切でないものは？,A: 医師,B: 看護師,C: 医療事務員,D: 患者本人,D
電子カルテの情報に関して、厚生労働省が基準にしているものは？,A: 医療情報システムの安全管理に関するガイドライン 第5.2版,B: 個人情報保護法,C: 医療法,D: 労働基準法,A
レセプトの主な目的は？,A: 患者の満足度向上,B: 医療機関が保険者に医療報酬を請求すること,C: 医療費の削減,D: 医療技術の向上,B
診療報酬の算定基準を定めているのは？,A: 医療機関,B: 厚生労働大臣,C: 医師会,D: 保険会社,B
診療報酬の点数は何円で計算される？,A: 1点=1円,B: 1点=10円,C: 1点=100円,D: 1点=1000円,B
レセプトの作成元として適切でないものは？,A:医療機関,B:社会保険診療報酬支払基金,C:国民健康保険団体連合会,D:患者,A, B, C, or D
診療報酬とは何か？,A: 患者が支払う医療費,B: 保険医療機関に保険制度から支払われる料金,C: 医師の給料,D: 病院の利益,B
診療報酬改定は通常何年ごとに行われる？,A: 2年に一度,B: 毎年,C: 3年に一度,D: 5年に一度,A
診療報酬点数表は何によって定められている？,A: 医師の判断,B: 医療機関の裁量,C: 健康保険法第76条第2項,D: 患者の同意,C
基本診療料と特掲診療料を足したものは？,A: 診療報酬,B: 薬代,C: 手術代,D: 入院費,A
薬価基準は誰によって定められている？,A: 医師会,B: 薬剤師会,C: 厚生労働大臣,D: 製薬会社,C
薬価基準の区分でないものは？,A: 内用薬,B: 注射薬,C: 外用薬,D: 診断薬,D
薬価が15円以下の場合は何点となる？,A: 0点,B: 1点,C: 2点,D: 15点,B
薬剤料の計算に使われるものは？,A: 四捨五入,B: 切り捨て,C: 五捨五超入,D: 概数,C
診療報酬の算定で不可欠なものは？,A: スマートフォン,B: パソコン,C: 電卓,D:そろばん,C
メモリーキーの機能として適切でないものは？,A: 計算結果をプラスして保存,B: 保存した結果の呼び出し,C: 計算結果をマイナスして保存,D: 計算結果の自動保存,D
M+キーは何のために使う？,A: 計算結果をプラスして保存,B: 計算結果をマイナスして保存,C: 保存した結果の呼び出し,D: 計算のクリア,A
メモリーキーを使うことで何ができる？,A: 計算時間の短縮,B: 計算結果を正確にすることができ、電卓上のみで計算できる,C: 複雑な計算,D: 暗算能力の向上,B
医療保険は大きく何種類に分類される？,A: 2種類,B: 3種類,C: 4種類,D: 5種類,B
被用者保険と地域保険は何と呼ばれる？,A: 社保,B: 国保,C: 健保,D: 共済,B
加入する保険は何によって異なる？,A: 住所,B: 働き方や年齢,C: 血液型,D: 好きな食べ物,B
健康保険の被保険者の家族は何と呼ばれる？,A: 社員,B: 被扶養者,C: 国民,D: 組合員,B
健康保険法は何を目的とする？,A: 医療費の削減,B: 労働者の業務外の疾病、負傷、死亡、出産に関して保険給付を行うこと,C: 医療技術の向上,D: 病院の経営改善,B
健康保険法の被保険者とは何か？,A: すべての国民,B: 適用事業所に使用される者,C: 75歳以上の高齢者,D: 生活保護受給者,B
健康保険の保険給付の種類は？,A: 現物給付のみ,B: 現金給付のみ,C: 現物給付と現金給付,D: ローン給付,C
健康保険で原則自己負担する割合は？,A: 1～3割,B: 5割,C: 7割,D: 全額,A
国民健康保険法は誰を対象とする？,A: 会社員,B: 健康保険法の対象者ではない人,C: 公務員,D: 75歳以上の高齢者,B
国民健康保険に被扶養者という区分はある？,A: ある,B: ない,C: 条件付きである,D: 今後導入予定,B
国民健康保険料は全国一律？,A: 全国一律,B: 全国一律ではない,C: 一部地域のみ一律,D: 今後一律になる予定,B
国民健康保険の保険者として適切でないものは？,A: 市町村,B: 特別区（東京23区）,C: 国民健康保険組合,D: 全国健康保険協会,D
公費負担医療制度は何を目的とする？,A: 特定の疾病や境遇の患者に対し、医療費の全部または一部を国や地方自治体が負担すること,B: 医療費の削減,C: 医療技術の向上,D: 病院の経営改善,A
公費負担医療制度は誰が負担する？,A: 患者,B: 医療機関,C: 国や地方自治体,D: 保険会社,C
公費負担医療制度の分類として適切でないものは？,A: 社会福祉,B: 障害者福祉,C: 国家補償関連,D: 宗教,D
生活保護法の医療扶助は誰が負担する？,A: 国,B: 地方自治体,C: 医療機関,D: 患者,A
保険医療機関及び保険医療養担当規則は何を定めたもの？,A: 保険医療を行うにあたり、保険医療機関と保険医が守らなくてはならない基本事項,B: 医療費の計算方法,C: 医療技術の向上,D: 病院の経営改善,A
保険医療機関は何を確認しなければならない？,A: 患者の職業,B: 患者の住所,C: 電子資格確認（マイナカード）または患者様の提出する被保険者証によって受給資格があること,D: 患者の最終学歴,C
保険医療機関は原則領収証をどうしなければならない？,A: 有料で交付する,B: 無償で交付する,C: 希望者のみに交付する,D: 交付しない,B
保険医は専門外の施術に同意してはならない？,A: 自己の専門外である疾病または負傷であるという理由で、施術業者の施術を受けさせることに同意をしてはならない,B: 患者の希望があれば同意しても良い,C: 応急処置の場合は同意しても良い,D: 上司の許可があれば同意しても良い,A
医療法は何を目的とする？,A: 医療費の削減,B: 医療技術の向上,C: 病院の経営改善,D: 医療を受ける者の利益の保護、良質かつ適切な医療を効率的に提供する体制の確保、国民の健康の保持に寄与すること,D
病院とは何か？,A: 医師・歯科医師が医業・歯科医業を行う場であり、20人以上の患者様を入院させるための施設を所有するもの,B: 医師のみが医業を行う場所,C: 19人以下の患者を入院させる施設,D: 助産師が助産を行う場所,A
診療所とは何か？,A: 20人以上の患者を入院させる施設,B: 医師・歯科医師が医業・歯科医業を行う場であり、入院施設を所有しないもの、または、19人以下の患者様を入院させるための施設を所有するもの,C: 高度な医療を提供する施設,D: 助産師が助産を行う場所,B
